zone,state,eaid,wpop,hhsize,hhs,urca_cat,urca,asset_cat,asset,elec2013,elec2016,elec2019
North Central,Kogi,KO_151,6846,3.7,1850,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Kogi,KO_157,5267,3.7,1424,<1hr to int. city,10,High Wealth,8,1,1,1
North Central,Kogi,KO_160,4083,3.7,1104,<1hr to int. city,10,High Wealth,8,1,1,1
North Central,Kogi,KO_156,3988,3.7,1078,<1hr to int. city,10,High Wealth,8,1,1,1
North Central,Kogi,KO_159,3867,3.7,1045,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Kogi,KO_158,3863,3.7,1044,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Nassarawa,NA_177,4563,4.9,931,<1hr to int. city,11,High Wealth,7,1,1,1
North Central,Kogi,KO_152,3316,3.7,896,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Nassarawa,NA_176,4299,4.9,877,<1hr to int. city,11,High Wealth,7,1,1,1
North Central,Kogi,KO_153,2917,3.7,788,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Nassarawa,NA_175,3213,4.9,656,<1hr to int. city,11,High Wealth,7,1,1,1
North Central,Nassarawa,NA_187,2876,4.9,587,<1hr to int. city,11,High Wealth,7,1,1,1
North Central,Kogi,KO_150,1805,3.7,488,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Kogi,KO_155,1736,3.7,469,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Kogi,KO_164,1530,3.7,414,<1hr to int. city,10,High Wealth,7,0,0,1
North Central,Kogi,KO_169,1403,3.7,379,<1hr to int. city,10,Low Wealth,6,1,1,1
North Central,Kogi,KO_154,1330,3.7,359,<1hr to int. city,10,High Wealth,8,1,1,1
North Central,Niger,NI_194,1857,5.2,357,<1hr to int. city,11,High Wealth,8,1,1,1
North Central,Kogi,KO_168,1277,3.7,345,<1hr to int. city,10,High Wealth,7,1,1,1
North Central,Kogi,KO_167,1165,3.7,315,<1hr to int. city,10,Low Wealth,6,0,0,1
North Central,Niger,NI_193,1598,5.2,307,<1hr to int. city,11,High Wealth,7,1,1,1
North Central,Niger,NI_195,1092,5.2,210,<1hr to int. city,11,Low Wealth,6,0,1,1
North Central,Niger,NI_207,1002,5.2,193,<1hr to int. city,11,Low Wealth,6,1,1,1
North Central,Nassarawa,NA_184,750,4.9,153,<1hr to int. city,11,High Wealth,7,1,1,1
North Central,Nassarawa,NA_182,1197,4.9,244,<1hr to int. city,11,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_65,19579,4.5,4351,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Nassarawa,NA_172,15903,4.9,3246,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_54,13604,4.5,3023,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_57,11087,4.5,2464,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_58,9601,4.5,2134,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_67,9083,4.5,2018,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_53,5795,4.5,1288,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_56,5764,4.5,1281,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Niger,FC_51,5903,5.2,1135,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_59,4974,4.5,1105,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_72,4621,4.5,1027,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_66,4413,4.5,981,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Niger,NI_192,5064,5.2,974,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_63,4126,4.5,917,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Nassarawa,NA_179,4433,4.9,905,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Nassarawa,NA_181,4357,4.9,889,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_55,3752,4.5,834,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Nassarawa,NA_174,4026,4.9,822,<1hr to large city,9,Low Wealth,6,1,1,1
North Central,Niger,NI_191,3316,5.2,638,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_62,2585,4.5,574,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_74,2490,4.5,553,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Nassarawa,NA_178,2498,4.9,510,<1hr to large city,9,High Wealth,7,0,0,1
North Central,Federal Capital Territory,FC_60,2235,4.5,497,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_52,2190,4.5,487,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_64,1802,4.5,400,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_61,1670,4.5,371,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Nassarawa,NA_180,1614,4.9,329,<1hr to large city,9,High Wealth,7,0,0,1
North Central,Nassarawa,NA_183,1497,4.9,306,<1hr to large city,9,High Wealth,7,1,1,1
North Central,Nassarawa,NA_188,1432,4.9,292,<1hr to large city,9,Low Wealth,6,1,1,1
North Central,Federal Capital Territory,FC_75,1179,4.5,262,<1hr to large city,9,High Wealth,8,1,1,1
North Central,Niger,NI_201,6840,5.2,1315,<1hr to small city/town+,12,Low Wealth,5,0,0,1
North Central,Niger,NI_196,6011,5.2,1156,<1hr to small city/town+,12,Low Wealth,6,1,1,1
North Central,Niger,NI_197,5298,5.2,1019,<1hr to small city/town+,12,Low Wealth,6,1,1,1
North Central,Niger,NI_198,4179,5.2,804,<1hr to small city/town+,18,Low Wealth,6,1,1,1
North Central,Nassarawa,NA_171,3356,4.9,685,<1hr to small city/town+,13,High Wealth,7,0,0,1
North Central,Nassarawa,NA_185,2266,4.9,462,<1hr to small city/town+,12,Low Wealth,6,1,1,1
North Central,Niger,NI_202,2395,5.2,461,<1hr to small city/town+,12,High Wealth,7,1,1,1
North Central,Kogi,KO_161,1311,3.7,354,<1hr to small city/town+,12,High Wealth,7,0,0,1
North Central,Niger,NI_200,1390,5.2,267,<1hr to small city/town+,12,High Wealth,8,1,1,1
North Central,Niger,NI_206,712,5.2,137,<1hr to small city/town+,12,High Wealth,8,0,1,1
North Central,Niger,NI_190,366,5.2,70,<1hr to small city/town+,12,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_69,10828,4.5,2406,Town,7,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_70,9945,4.5,2210,Town,7,High Wealth,8,1,1,1
North Central,Federal Capital Territory,FC_68,6173,4.5,1372,Town,7,High Wealth,8,1,1,1
North Central,Nassarawa,NA_170,6109,4.9,1247,Town,7,Low Wealth,6,1,1,1
North Central,Niger,NI_199,5870,5.2,1129,Town,7,Low Wealth,6,1,1,1
North Central,Kogi,KO_165,3951,3.7,1068,Town,7,High Wealth,8,1,1,1
North Central,Niger,NI_203,4338,5.2,834,Town,7,High Wealth,7,1,1,1
North Central,Kogi,KO_163,2227,3.7,602,Town,7,High Wealth,7,1,1,1
North Central,Federal Capital Territory,FC_71,2152,4.5,478,Town,7,High Wealth,8,1,1,1
North West,Katsina,KT_141,9410,6.3,1494,<1hr to int. city,11,Low Wealth,5,0,1,1
North West,Kaduna,KD_84,7019,5.5,1276,<1hr to int. city,10,Low Wealth,6,0,0,1
North West,Kaduna,KD_77,5788,5.5,1052,<1hr to int. city,10,Low Wealth,5,1,1,1
North West,Zamfara,ZA_247,5873,6.2,947,<1hr to int. city,10,High Wealth,7,1,1,1
North West,Katsina,KT_134,4789,6.3,760,<1hr to int. city,11,Low Wealth,5,0,0,1
North West,Katsina,KT_132,4063,6.3,645,<1hr to int. city,11,Low Wealth,5,0,1,1
North West,Katsina,KT_143,3448,6.3,547,<1hr to int. city,10,Low Wealth,6,1,1,1
North West,Katsina,KT_142,2914,6.3,463,<1hr to int. city,11,Low Wealth,5,0,0,1
North West,Kaduna,KD_85,2522,5.5,459,<1hr to int. city,10,Low Wealth,5,0,0,1
North West,Katsina,KT_136,2830,6.3,449,<1hr to int. city,11,Low Wealth,6,0,0,1
North West,Katsina,KT_135,2470,6.3,392,<1hr to int. city,11,High Wealth,7,1,1,1
North West,Katsina,KT_131,2159,6.3,343,<1hr to int. city,11,Low Wealth,6,1,1,1
North West,Katsina,KT_133,1901,6.3,302,<1hr to int. city,10,Low Wealth,5,1,1,1
North West,Kaduna,KD_99,1537,5.5,279,<1hr to int. city,10,High Wealth,7,1,1,1
North West,Katsina,KT_149,1670,6.3,265,<1hr to int. city,10,Low Wealth,6,1,1,1
