zone,state,eaid,lga,urca_cat,entid,q102,q103,q201,q201__1,q201__2,q201__3,q201__4,q201__5,q201__6,q201__7,q201__8,q201__9,q201__10,q201__11,q201__12,q201__13,q201__14,q201__15,q201__16,q201__17,q201__18,q201__19,q201__20,q201__21,q201__22,q201__23,q201__24,q201__25,q201__96,q201_1,q202,q202__1,q202__2,q202__3,q202__4,q202__5,q202__6,q202__7,q202__8,q203,q204_1,q204_2,q205_1,q205_2,q206,q207,q207__1,q207__2,q207__3,q207__4,q207__5,q207__6,q207__7,q207__8,q207__9,q207__10,q207__11,q207__12,q207__13,q208,q208__1,q208__2,q208__3,q208__4,q208__5,q208__6,q208__7,q208__8,q208__9,q208__10,q208__11,q208__12,q208__13,q209_1,q209_2,q209_3,q210,q211,q212,q213_1,q213_2,q213_3,q213_4,q213_5,q213_5_1,q213_6,q213_6_1,q214,q214_1,q215,q215_1,q215_1__1,q215_1__2,q215_1__96,q216,q216__1,q216__2,q216__3,q216__4,q216__5,q216__6,q216__7,q216__8,q216__9,q216__10,q216__11,q216__12,q216__13,q216__96,q217,q217_1,q217_2,q301,q301__1,q301__2,q301__3,q301__4,q301__5,q301__6,q301__7,q301__8,q301__9,q301__10,q301__11,q301__12,q301__13,q301__14,q301__0,q301__96,q302,q303,q304_1,q304_2,q304_3,q304_4,q304_5,q304_6,q304_7,q304_8,q304_9,q304_10,q304_10__1,q304_10__2,q304_10__3,q304_10__4,q304_10__5,q304_10__6,q304_10__7,q304_10__0,q304_10__96,q305_1,q305_2,q305_3,q305_4,q305_5,q305_6,q305_7,q306_1,q306_2,q306_2__1,q306_2__2,q306_2__3,q306_2__4,q306_2__5,q306_2__6,q306_2__7,q306_2__8,q306_2__9,q306_2__10,q306_2__11,q306_2__12,q306_2__13,q306_3,q306_4,q306_5,q306_6,q306_7,q306_8,q306_9,q306_10,q306_11,q306_12,q307_1,q307_2,q307_2__1,q307_2__2,q307_2__3,q307_2__4,q307_2__5,q307_2__6,q307_2__7,q307_2__8,q307_2__9,q307_2__10,q307_2__11,q307_2__12,q307_2__13,q307_3,q307_4,q307_5,q307_6,q307_7,q307_8,q307_9,q307_10,q307_11,q307_12,q308,q309,q401,q401__1,q401__2,q401__3,q401__4,q401__5,q401__6,q403,q403__1,q403__2,q403__3,q403__4,q403__5,q403__6,q403__7,q403__8,q403__9,q403__10,q403__11,q403__0,q403__96,q403_1,q404,q406,q406_1,q406_1__1,q406_1__2,q406_1__3,q406_1__4,q406_1__5,q406_1__6,q406_1__7,q406_1__8,q406_1__9,q406_1__10,q406_1__11,q406_1__12,q406_1__13,q406_1__96,q406_2,q407,q501,q501__1,q501__2,q501__3,q501__4,q501__5,q501__96,q501_1,q601_1,q601_2,q601_3,q601_4,q602,q603,q604_1,q604_2,q604_3,q604_4,att_opt_a1_1,att_opt_a2_1,att_opt_a3_1,att_opt_a4_1,att_opt_a5_1,att_opt_a6_1,att_opt_b1_1,att_opt_b2_1,att_opt_b3_1,att_opt_b4_1,att_opt_b5_1,att_opt_b6_1,att_opt_a1_2,att_opt_a2_2,att_opt_a3_2,att_opt_a4_2,att_opt_a5_2,att_opt_a6_2,att_opt_b1_2,att_opt_b2_2,att_opt_b3_2,att_opt_b4_2,att_opt_b5_2,att_opt_b6_2,q605_1,q606_1,q605_2,q606_2,wtp_bid1,wtp_supply,wtp_apps,q607,wtp_bid2,q608,wtp_bid3,q609,q610,comment,validated,natweight
North West,Kano,KN_104,garun_malam,<1hr to large city,eb7c5835-647b-4557-98ed-f2a67cd6f1f8,1,NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Charging of phones,8,0,0,0,0,0,0,0,1,2020-02-01,08:00:00.000+01:00,23:50:00.000+01:00,5,4,6,9 8,0,0,0,0,0,0,0,1,1,0,0,0,0,10 11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,110000,1,9000,0,20,1,14,3,NA,3,NA,0,NA,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,2,2,40000,21000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,4,6,24,0,0,1000,4000,700,4,3,0,NA,1 2 3 5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,5,3,2,4,4,3,12,66000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,6,6,33000,any appliances,a solar microgrid,a group of local townspeople,6,12,3000,lighting and phone charging and fan and tv,a solar home system,a private power company,6,12,3000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,b,3,a,3,6000,grid supply,NA,1,9000,1,33000,0,10000,NA,yes,0.109779068299457
North West,Kaduna,KD_89,giwa,<1hr to large city,44f91845-9367-4253-acbd-a4cd348968f2,1,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,1991-02-01,07:30:00.000+01:00,19:00:00.000+01:00,50,35,6,3 4 5 6 7,0,0,1,1,1,1,1,0,0,0,0,0,0,8 9 10 11 12 1 2,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,100000,2,30000,0,50,30,14,5,NA,3,NA,1,1,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4 5 6 7 8 9,0,0,0,1,1,1,1,1,1,0,0,0,0,10,7,14,0,0,3000,4000,1500,3,2,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,3,3,3,2,3,3,6,100000,lighting and phone charging,a solar home system,a group of local townspeople,12,12,66000,lighting and phone charging,a diesel generator,a group of local townspeople,9,12,33000,lighting and phone charging,a solar microgrid,a group of local townspeople,3,3,33000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,b,1,a,1,100000,off-grid supply,NA,0,66000,0,33000,0,1000,NA,yes,0.109779068299457
North West,Kaduna,KD_89,giwa,<1hr to large city,3777b5c2-4dfd-422c-9900-3324563b845a,1,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2011-02-01,10:00:00.000+01:00,22:00:00.000+01:00,30,20,6,5 6 7 8,0,0,0,0,1,1,1,1,0,0,0,0,0,9 10 11 12 1 2 3 4,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,100000,4,30000,0,25,10,14,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,5 6 7 8 9 10 11 12,0,0,0,0,1,1,1,1,1,1,1,1,0,14,2,10,0,0,3000,2000,1000,3,3,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,3,3,2,3,9,12,33000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,6,9,33000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,6,3,33000,any appliances,a solar microgrid,a group of local townspeople,9,12,33000,any appliances,a diesel generator,the state electricity company,a,1,b,1,100000,off-grid supply,NA,0,66000,0,33000,0,1000,A successful survey,yes,0.109779068299457
North West,Kaduna,KD_89,giwa,<1hr to large city,9fbd53ca-6b90-41ba-ab12-7f018bf6bfa7,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2021-02-01,08:30:00.000+01:00,18:30:00.000+01:00,30,20,6,4 5 6 7 8 9,0,0,0,1,1,1,1,1,1,0,0,0,0,10 11 12 1 2 3,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,100000,1,25000,0,23,1,22,3,NA,1,NA,1,1,0,NA,NA,NA,NA,1 11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3 4 5 6,0,0,1,1,1,1,0,0,0,0,0,0,0,10,2,14,0,0,2500,3000,1500,2,2,0,NA,1,1,0,0,0,0,0,0 2,0,1,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,3,3,3,3,3,3,100000,any appliances,a solar home system,a private power company,6,3,100000,lighting and phone charging and fan and tv,the grid,the state electricity company,9,12,100000,lighting and phone charging,a diesel generator,the state electricity company,6,3,33000,lighting and phone charging,a solar home system,a group of local townspeople,b,1,b,1,66000,off-grid supply,NA,0,33000,0,9000,0,2000,NA,yes,0.109779068299457
North West,Kano,KN_104,garun_malam,<1hr to large city,71d7993c-9e67-4bc4-93c2-f9ec2c78638d,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2020-02-01,07:00:00.000+01:00,23:00:00.000+01:00,3,3,6,2 4,0,1,0,1,0,0,0,0,0,0,0,0,0,3 5 7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,150000,1,30000,0,25,1,14,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,2,3,75000,27000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4 5,0,0,0,1,1,0,0,0,0,0,0,0,0,7,7,18,0,0,1000,2500,500,4,3,0,NA,1 3 5 6,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,4,3,4,4,2,3,3,100000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,6,9,3000,lighting and phone charging,the grid,a private power company,9,6,66000,lighting and phone charging,a solar microgrid,a group of local townspeople,6,9,100000,any appliances,a diesel generator,a private power company,b,3,a,3,9000,off-grid supply,NA,1,33000,0,9000,NA,15000,NA,yes,0.109779068299457
South South,Akwa Ibom,AK_5,onna,<1hr to int. city,3d2f362b-8331-4762-94d4-9c58fd69c3ac,1,NA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2016-02-01,08:00:00.000+01:00,22:00:00.000+01:00,4,5,6,7 6 5,0,0,0,0,1,1,1,0,0,0,0,0,0,1 2 3 12 11 10 9 8 4,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,800000,3,65000,0,41,7,20,19,NA,1,NA,1,1,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,3,95000,31500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10 8 6,0,0,0,0,0,1,0,1,0,1,0,0,0,2,7,22,0,0,99,99,4000,1,1,0,NA,1 3 4 5 6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,3,1,1,1,2,6,9,100000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,3,12,3000,any appliances,a solar microgrid,a private power company,3,3,100000,lighting and phone charging and fan and tv,the grid,the state electricity company,3,9,33000,any appliances,a diesel generator,a group of local townspeople,b,2,b,1,100000,grid supply,that can power all appliances,0,66000,0,33000,0,2500,The respondant does not know the amount spent on connection.,yes,0.0947806962172506
South South,Rivers,RI_237,obio/akpor,<1hr to large city,732ba0b0-89e6-4ea0-a71f-b1a351fa407d,1,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2018-02-01,09:00:00.000-07:00,17:00:00.000-07:00,15,10,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,400000,6,30000,0,40,10,14,6,NA,9,NA,1,1,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,10,250000,30000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,18,0,0,7000,3000,5000,2,2,0,NA,1 3,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,2,2,2,3,4,9,12,3000,lighting and phone charging,a solar microgrid,a group of local townspeople,6,12,66000,lighting and phone charging,the grid,a group of local townspeople,9,3,33000,any appliances,the grid,a private power company,9,3,33000,any appliances,a solar home system,a private power company,a,2,a,2,9000,off-grid supply,that can power all appliances,1,33000,0,9000,NA,20000,The respondent do not give his number,yes,0.269222253968465
North West,Kaduna,KD_87,kajuru,<1hr to large city,8f48fbb0-218d-4510-a71e-93682cc8bdc6,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2003-02-01,06:30:00.000+01:00,11:00:00.000+01:00,4,3,6,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,10 11 12,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,70000,0,15000,1,46,19,14,5,NA,1,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,70000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,12,5,17,0,0,5000,35000,3000,3,2,1,300,1 3 4,1,0,1,1,0,0,2 7,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,NA,3,2,2,3,3,4,2,2,4,2,6,3,3000,any appliances,a solar home system,a group of local townspeople,3,9,33000,lighting and phone charging,a diesel generator,a private power company,9,6,33000,lighting and phone charging,a solar microgrid,a private power company,6,6,66000,any appliances,a solar home system,a group of local townspeople,a,2,a,1,3000,grid supply,NA,1,6000,0,3000,NA,3000,NA,yes,0.109779068299457
North Central,Kogi,KO_151,okehi,<1hr to int. city,3269c090-2ff3-42a7-a6dc-780ef56ab9bf,1,NA,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2016-02-01,08:00:00.000+01:00,20:00:00.000+01:00,5,4,6,8 7 9 10,0,0,0,0,0,0,1,1,1,1,0,0,0,1 2 3 4 5 6 11 12,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,400000,2,70000,0,38,3,20,7,NA,1,NA,1,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,60000,15000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7 8 9 10,0,0,0,0,0,0,1,1,1,1,0,0,0,14,0,10,0,0,15000,25000,11000,1,2,1,1800,1 2 3 4 6,1,1,1,1,0,1,4 2,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,4,1,6,1,2,2,2,6,3,66000,any appliances,a solar microgrid,a private power company,3,6,100000,lighting and phone charging,a solar home system,a group of local townspeople,3,6,33000,lighting and phone charging and fan and tv,the grid,the state electricity company,12,12,3000,any appliances,a solar microgrid,a group of local townspeople,a,3,b,3,66000,grid supply,NA,1,100000,0,66000,NA,66000,Nice respondent,yes,0.0802062472175895
North West,Kaduna,KD_87,kajuru,<1hr to large city,fc05e2d3-f589-403e-b549-104050368f3d,1,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6 5 4 2 1 3,1,1,1,1,1,1,0,0,2016-02-01,08:00:00.000+01:00,17:00:00.000+01:00,4,2,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,11 12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,70000,0,30000,0,25,8,14,96,Adara,96,Adara,0,NA,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,2,1,10000,8000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,20,0,0,3000,10000,1500,2,2,0,NA,1 2 3,1,1,1,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,1,Clippers,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,2,4,3,2,4,4,3,9,3000,lighting and phone charging,a diesel generator,a private power company,3,6,66000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,9,9,3000,lighting and phone charging,a solar microgrid,a private power company,3,9,66000,any appliances,a solar home system,a private power company,a,2,a,2,9000,grid supply,that can power all appliances,0,6000,0,3000,1,3000,NA,yes,0.109779068299457
