entid,q402,q402_1,q402_2,q402_3
00937b1c-003a-4e38-89b8-2659507d1c59,Fan,2,9,3
00937b1c-003a-4e38-89b8-2659507d1c59,Laptop / Computer,3,9,3
00937b1c-003a-4e38-89b8-2659507d1c59,Light bulb,4,9,3
00937b1c-003a-4e38-89b8-2659507d1c59,Mobile phone charger,3,1,2
00937b1c-003a-4e38-89b8-2659507d1c59,Radio,0,0,0
00937b1c-003a-4e38-89b8-2659507d1c59,Television,3,9,3
009f343e-480c-496a-9c3f-ab263d438c93,Fan,2,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Laptop / Computer,0,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Light bulb,5,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Mobile phone charger,3,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Radio,0,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Television,0,0,0
00d622e2-5ce9-4acb-a333-c5ed4c4b34f2,Fan,2,7,3
00d622e2-5ce9-4acb-a333-c5ed4c4b34f2,Laptop / Computer,3,9,3
00d622e2-5ce9-4acb-a333-c5ed4c4b34f2,Light bulb,3,7,3
00d622e2-5ce9-4acb-a333-c5ed4c4b34f2,Mobile phone charger,3,7,2
00d622e2-5ce9-4acb-a333-c5ed4c4b34f2,Radio,0,0,0
00d622e2-5ce9-4acb-a333-c5ed4c4b34f2,Television,4,9,3
01346763-a035-4fd8-9acb-252ba03adcc1,Fan,0,0,0
01346763-a035-4fd8-9acb-252ba03adcc1,Laptop / Computer,0,0,0
01346763-a035-4fd8-9acb-252ba03adcc1,Light bulb,2,0,0
01346763-a035-4fd8-9acb-252ba03adcc1,Mobile phone charger,1,0,0
01346763-a035-4fd8-9acb-252ba03adcc1,Radio,0,0,0
01346763-a035-4fd8-9acb-252ba03adcc1,Television,0,0,0
01af6bb9-c656-4cf5-a1d9-43b155f2cc7d,Fan,1,3,2
01af6bb9-c656-4cf5-a1d9-43b155f2cc7d,Laptop / Computer,0,0,0
01af6bb9-c656-4cf5-a1d9-43b155f2cc7d,Light bulb,2,2,4
01af6bb9-c656-4cf5-a1d9-43b155f2cc7d,Mobile phone charger,1,0,2
01af6bb9-c656-4cf5-a1d9-43b155f2cc7d,Radio,0,0,0
01af6bb9-c656-4cf5-a1d9-43b155f2cc7d,Television,1,0,4
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Fan,2,6,4
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Laptop / Computer,0,0,0
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Light bulb,4,4,4
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Mobile phone charger,0,0,0
