entid,q405,q405_2,q405_3,q405_4
0292b198-63d3-48a7-931f-e8e079a42885,Atlas,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Circular machine,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Clipper,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Cutter,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Drier,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Filer,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Grinder,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Hair dryer,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Ice cream maker,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Industrial sewing machine,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Jigsaw machine,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Lister,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Mill,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Mixer,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Packing machine,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Photocopier,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Pressing Iron,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Quail,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Rebor machine,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Spool gun,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Stretcher,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Tower warmer,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Tyre repairer,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Washing machine,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Water pump machine,0,0,0
0292b198-63d3-48a7-931f-e8e079a42885,Welder,2,4,1
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Atlas,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Circular machine,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Clipper,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Cutter,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Drier,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Filer,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Grinder,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Hair dryer,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Ice cream maker,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Industrial sewing machine,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Jigsaw machine,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Lister,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Mill,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Mixer,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Packing machine,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Photocopier,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Pressing Iron,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Quail,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Rebor machine,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Spool gun,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Stretcher,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Tower warmer,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Tyre repairer,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Washing machine,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Water pump machine,0,0,0
02cc446a-ca3c-4dc7-bee6-bd15fa42c837,Welder,1,4,1
05805c38-c70e-4096-afa9-c3b986cb56fa,Atlas,0,0,0
05805c38-c70e-4096-afa9-c3b986cb56fa,Circular machine,0,0,0
05805c38-c70e-4096-afa9-c3b986cb56fa,Clipper,0,0,0
05805c38-c70e-4096-afa9-c3b986cb56fa,Cutter,0,0,0
05805c38-c70e-4096-afa9-c3b986cb56fa,Drier,0,0,0
