entid,q502,q502_1,q502_2,q502_3
009f343e-480c-496a-9c3f-ab263d438c93,Biogas stove,0,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Electric cooking device,0,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Kerosene fuel / other liquid fuel stove,0,0,0
009f343e-480c-496a-9c3f-ab263d438c93,LPG stove,0,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Other,0,0,0
009f343e-480c-496a-9c3f-ab263d438c93,Solid-fuel stove,2,220,7000
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Biogas stove,0,0,0
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Electric cooking device,0,0,0
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Kerosene fuel / other liquid fuel stove,0,0,0
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,LPG stove,1,180,10800
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Other,0,0,0
01b439b1-7ecd-42e7-8bcb-b0d117094f0f,Solid-fuel stove,0,0,0
0540a4db-3ebb-493f-a106-0a4311206bde,Biogas stove,0,0,0
0540a4db-3ebb-493f-a106-0a4311206bde,Electric cooking device,0,0,0
0540a4db-3ebb-493f-a106-0a4311206bde,Kerosene fuel / other liquid fuel stove,3,480,8000
0540a4db-3ebb-493f-a106-0a4311206bde,LPG stove,0,0,0
0540a4db-3ebb-493f-a106-0a4311206bde,Other,0,0,0
0540a4db-3ebb-493f-a106-0a4311206bde,Solid-fuel stove,1,600,3000
05d28ff2-9fb2-41d4-a1e3-33dd0bbc0c32,Biogas stove,0,0,0
05d28ff2-9fb2-41d4-a1e3-33dd0bbc0c32,Electric cooking device,0,0,0
05d28ff2-9fb2-41d4-a1e3-33dd0bbc0c32,Kerosene fuel / other liquid fuel stove,1,120,3000
05d28ff2-9fb2-41d4-a1e3-33dd0bbc0c32,LPG stove,0,0,0
05d28ff2-9fb2-41d4-a1e3-33dd0bbc0c32,Other,0,0,0
05d28ff2-9fb2-41d4-a1e3-33dd0bbc0c32,Solid-fuel stove,0,0,0
06193d6e-c300-4d27-a812-0f386992da8b,Biogas stove,0,0,0
06193d6e-c300-4d27-a812-0f386992da8b,Electric cooking device,1,120,0
06193d6e-c300-4d27-a812-0f386992da8b,Kerosene fuel / other liquid fuel stove,1,120,2000
06193d6e-c300-4d27-a812-0f386992da8b,LPG stove,2,360,15000
06193d6e-c300-4d27-a812-0f386992da8b,Other,0,0,0
06193d6e-c300-4d27-a812-0f386992da8b,Solid-fuel stove,0,0,0
0fa22787-b30b-4b84-964f-fcb22728e63e,Biogas stove,0,0,0
0fa22787-b30b-4b84-964f-fcb22728e63e,Electric cooking device,0,0,0
0fa22787-b30b-4b84-964f-fcb22728e63e,Kerosene fuel / other liquid fuel stove,1,60,1500
0fa22787-b30b-4b84-964f-fcb22728e63e,LPG stove,0,0,0
0fa22787-b30b-4b84-964f-fcb22728e63e,Other,0,0,0
0fa22787-b30b-4b84-964f-fcb22728e63e,Solid-fuel stove,0,0,0
0ff61e1c-d2cf-4b1b-a632-ccbee8e34fcb,Biogas stove,0,0,0
0ff61e1c-d2cf-4b1b-a632-ccbee8e34fcb,Electric cooking device,1,90,99
0ff61e1c-d2cf-4b1b-a632-ccbee8e34fcb,Kerosene fuel / other liquid fuel stove,0,0,0
0ff61e1c-d2cf-4b1b-a632-ccbee8e34fcb,LPG stove,0,0,0
0ff61e1c-d2cf-4b1b-a632-ccbee8e34fcb,Other,0,0,0
0ff61e1c-d2cf-4b1b-a632-ccbee8e34fcb,Solid-fuel stove,0,0,0
10d196f2-44c2-4bf6-84a4-1c7f52781559,Biogas stove,1,60,6000
10d196f2-44c2-4bf6-84a4-1c7f52781559,Electric cooking device,0,0,0
10d196f2-44c2-4bf6-84a4-1c7f52781559,Kerosene fuel / other liquid fuel stove,0,0,0
10d196f2-44c2-4bf6-84a4-1c7f52781559,LPG stove,0,0,0
10d196f2-44c2-4bf6-84a4-1c7f52781559,Other,0,0,0
10d196f2-44c2-4bf6-84a4-1c7f52781559,Solid-fuel stove,0,0,0
1132eb67-51dc-451f-bf39-6f41c8baefdb,Biogas stove,0,0,0
1132eb67-51dc-451f-bf39-6f41c8baefdb,Electric cooking device,0,0,0
1132eb67-51dc-451f-bf39-6f41c8baefdb,Kerosene fuel / other liquid fuel stove,1,60,5000
1132eb67-51dc-451f-bf39-6f41c8baefdb,LPG stove,0,0,0
1132eb67-51dc-451f-bf39-6f41c8baefdb,Other,0,0,0
1132eb67-51dc-451f-bf39-6f41c8baefdb,Solid-fuel stove,0,0,0
1239f057-d592-4dfd-8cb9-0e893b6d2a9b,Biogas stove,0,0,0
1239f057-d592-4dfd-8cb9-0e893b6d2a9b,Electric cooking device,0,0,0
1239f057-d592-4dfd-8cb9-0e893b6d2a9b,Kerosene fuel / other liquid fuel stove,0,0,0
1239f057-d592-4dfd-8cb9-0e893b6d2a9b,LPG stove,1,240,4000
1239f057-d592-4dfd-8cb9-0e893b6d2a9b,Other,0,0,0
1239f057-d592-4dfd-8cb9-0e893b6d2a9b,Solid-fuel stove,0,0,0
133ed85c-86a0-43b6-bce4-cd8145c273d3,Biogas stove,0,0,0
133ed85c-86a0-43b6-bce4-cd8145c273d3,Electric cooking device,0,0,0
133ed85c-86a0-43b6-bce4-cd8145c273d3,Kerosene fuel / other liquid fuel stove,1,80,3000
133ed85c-86a0-43b6-bce4-cd8145c273d3,LPG stove,0,0,0
133ed85c-86a0-43b6-bce4-cd8145c273d3,Other,0,0,0
133ed85c-86a0-43b6-bce4-cd8145c273d3,Solid-fuel stove,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Biogas stove,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Electric cooking device,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Kerosene fuel / other liquid fuel stove,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,LPG stove,2,240,9600
137f46f8-bd70-4d86-a972-33896c016c26,Other,0,0,0
137f46f8-bd70-4d86-a972-33896c016c26,Solid-fuel stove,1,240,3000
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Biogas stove,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Electric cooking device,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Kerosene fuel / other liquid fuel stove,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,LPG stove,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Other,0,0,0
1a93b7f5-f0c9-4a31-9d3e-c0465002fc9a,Solid-fuel stove,2,240,6000
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Biogas stove,0,0,0
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Electric cooking device,0,0,0
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Kerosene fuel / other liquid fuel stove,1,90,4000
1ac839a9-0169-4982-b31a-a6f8a9064b3c,LPG stove,0,0,0
1ac839a9-0169-4982-b31a-a6f8a9064b3c,Other,0,0,0
