hhid,q403,q403_1,q403_2,q403_3
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Fan,4,3,6
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Laptop / Computer,2,2,2
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Light bulb,8,2,6
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Mobile phone charger,3,2,6
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Radio,0,0,0
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Television,2,3,6
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Fan,2,1,3
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Laptop / Computer,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Light bulb,7,1,4
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Mobile phone charger,2,1,2
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Radio,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Television,1,2,2
00165d72-086b-4490-9d5d-82446d9a652f,Fan,2,5,5
00165d72-086b-4490-9d5d-82446d9a652f,Laptop / Computer,0,0,0
00165d72-086b-4490-9d5d-82446d9a652f,Light bulb,5,3,6
00165d72-086b-4490-9d5d-82446d9a652f,Mobile phone charger,2,0,1
00165d72-086b-4490-9d5d-82446d9a652f,Radio,0,0,0
00165d72-086b-4490-9d5d-82446d9a652f,Television,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,Fan,1,3,3
002552a4-59d7-4244-bc7f-f749e056d442,Laptop / Computer,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,Light bulb,5,3,3
002552a4-59d7-4244-bc7f-f749e056d442,Mobile phone charger,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,Radio,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,Television,0,0,0
00334d35-5375-4689-b39e-f000ec097d08,Fan,3,6,12
00334d35-5375-4689-b39e-f000ec097d08,Laptop / Computer,0,0,0
00334d35-5375-4689-b39e-f000ec097d08,Light bulb,8,3,6
00334d35-5375-4689-b39e-f000ec097d08,Mobile phone charger,4,2,2
00334d35-5375-4689-b39e-f000ec097d08,Radio,0,0,0
00334d35-5375-4689-b39e-f000ec097d08,Television,2,2,3
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Fan,0,0,0
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Laptop / Computer,0,0,0
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Light bulb,2,1,2
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Mobile phone charger,2,1,2
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Radio,0,0,0
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Television,1,2,2
00647135-ec2c-4c6e-b38d-13f686901e1e,Fan,5,2,6
00647135-ec2c-4c6e-b38d-13f686901e1e,Laptop / Computer,0,0,0
00647135-ec2c-4c6e-b38d-13f686901e1e,Light bulb,15,3,9
00647135-ec2c-4c6e-b38d-13f686901e1e,Mobile phone charger,8,2,2
00647135-ec2c-4c6e-b38d-13f686901e1e,Radio,0,0,0
00647135-ec2c-4c6e-b38d-13f686901e1e,Television,3,3,6
008fd052-3d53-4129-b05c-93c60c990aa8,Fan,1,3,3
008fd052-3d53-4129-b05c-93c60c990aa8,Laptop / Computer,0,0,0
008fd052-3d53-4129-b05c-93c60c990aa8,Light bulb,6,0,6
008fd052-3d53-4129-b05c-93c60c990aa8,Mobile phone charger,4,3,6
008fd052-3d53-4129-b05c-93c60c990aa8,Radio,0,0,0
008fd052-3d53-4129-b05c-93c60c990aa8,Television,1,3,3
00d6e8ab-ac98-4587-8341-8123cb6fb504,Fan,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,Laptop / Computer,0,0,0
00d6e8ab-ac98-4587-8341-8123cb6fb504,Light bulb,4,0,4
00d6e8ab-ac98-4587-8341-8123cb6fb504,Mobile phone charger,2,0,3
