hhid,q502,q502_1,q502_2,q502_3
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Biogas stove,0,0,0
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Electric cooking stove,0,0,0
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Kerosene fuel / other liquid fuel stove,0,0,0
000a1b48-1223-4e6c-8d67-6a1c73f8b433,LPG stove,1,180,6000
000a1b48-1223-4e6c-8d67-6a1c73f8b433,No stove,0,0,0
000a1b48-1223-4e6c-8d67-6a1c73f8b433,Solid-fuel stove,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Biogas stove,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Electric cooking stove,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Kerosene fuel / other liquid fuel stove,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,LPG stove,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,No stove,0,0,0
00147ada-cbd4-4bc9-8b65-b07ec403cf7e,Solid-fuel stove,1,120,500
00165d72-086b-4490-9d5d-82446d9a652f,Biogas stove,0,0,0
00165d72-086b-4490-9d5d-82446d9a652f,Electric cooking stove,1,120,0
00165d72-086b-4490-9d5d-82446d9a652f,Kerosene fuel / other liquid fuel stove,0,0,0
00165d72-086b-4490-9d5d-82446d9a652f,LPG stove,0,0,0
00165d72-086b-4490-9d5d-82446d9a652f,No stove,0,0,0
00165d72-086b-4490-9d5d-82446d9a652f,Solid-fuel stove,1,60,1500
002552a4-59d7-4244-bc7f-f749e056d442,Biogas stove,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,Electric cooking stove,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,Kerosene fuel / other liquid fuel stove,1,60,1000
002552a4-59d7-4244-bc7f-f749e056d442,LPG stove,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,No stove,0,0,0
002552a4-59d7-4244-bc7f-f749e056d442,Solid-fuel stove,0,0,0
00334d35-5375-4689-b39e-f000ec097d08,Biogas stove,0,0,0
00334d35-5375-4689-b39e-f000ec097d08,Electric cooking stove,1,180,3500
00334d35-5375-4689-b39e-f000ec097d08,Kerosene fuel / other liquid fuel stove,0,0,0
00334d35-5375-4689-b39e-f000ec097d08,LPG stove,1,90,3000
00334d35-5375-4689-b39e-f000ec097d08,No stove,0,0,0
00334d35-5375-4689-b39e-f000ec097d08,Solid-fuel stove,1,120,1500
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Biogas stove,0,0,0
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Electric cooking stove,0,0,0
005c8a23-00f7-4a13-a7fa-b991fd597b2e,Kerosene fuel / other liquid fuel stove,0,0,0
005c8a23-00f7-4a13-a7fa-b991fd597b2e,LPG stove,0,0,0
